year,month,date,tag,month_count_per_tag,overall_count,percent,running_count
"2008","8","2008-08-01 00:00:00","db2","7","3805","0.183968462549","7"
"2008","8","2008-08-01 00:00:00","mysql","75","3805","1.97109067017","75"
"2008","8","2008-08-01 00:00:00","oracle","35","3805","0.919842312746","35"
"2008","8","2008-08-01 00:00:00","postgresql","12","3805","0.315374507227","12"
"2008","8","2008-08-01 00:00:00","sqlite","10","3805","0.262812089356","10"
"2008","8","2008-08-01 00:00:00","sql-server","207","3805","5.440210249671","207"
"2008","9","2008-09-01 00:00:00","db2","13","14217","0.09143982556","20"
"2008","9","2008-09-01 00:00:00","mongodb","1","14217","0.007033832735","1"
"2008","9","2008-09-01 00:00:00","mysql","227","14217","1.596680030948","302"
"2008","9","2008-09-01 00:00:00","oracle","194","14217","1.364563550678","229"
"2008","9","2008-09-01 00:00:00","postgresql","55","14217","0.38686080045","67"
"2008","9","2008-09-01 00:00:00","sqlite","31","14217","0.218048814799","41"
"2008","9","2008-09-01 00:00:00","sql-server","556","14217","3.910811000914","763"
"2008","10","2008-10-01 00:00:00","db2","9","14701","0.061220325147","29"
"2008","10","2008-10-01 00:00:00","mysql","273","14701","1.857016529487","575"
"2008","10","2008-10-01 00:00:00","oracle","189","14701","1.285626828106","418"
"2008","10","2008-10-01 00:00:00","postgresql","49","14701","0.333310659138","116"
"2008","10","2008-10-01 00:00:00","sqlite","33","14701","0.224474525542","74"
"2008","10","2008-10-01 00:00:00","sql-server","519","14701","3.530372083531","1282"
"2008","11","2008-11-01 00:00:00","db2","14","12803","0.109349371241","43"
"2008","11","2008-11-01 00:00:00","mysql","296","12803","2.311958134812","871"
"2008","11","2008-11-01 00:00:00","oracle","128","12803","0.999765679918","546"
"2008","11","2008-11-01 00:00:00","postgresql","31","12803","0.242130750605","147"
"2008","11","2008-11-01 00:00:00","sqlite","28","12803","0.218698742482","102"
"2008","11","2008-11-01 00:00:00","sql-server","400","12803","3.124267749746","1682"
"2008","12","2008-12-01 00:00:00","db2","10","12170","0.082169268693","53"
"2008","12","2008-12-01 00:00:00","mysql","280","12170","2.300739523418","1151"
"2008","12","2008-12-01 00:00:00","oracle","114","12170","0.936729663105","660"
"2008","12","2008-12-01 00:00:00","postgresql","30","12170","0.24650780608","177"
"2008","12","2008-12-01 00:00:00","sqlite","21","12170","0.172555464256","123"
"2008","12","2008-12-01 00:00:00","sql-server","375","12170","3.081347576006","2057"
"2009","1","2009-01-01 00:00:00","db2","7","15956","0.043870644271","60"
"2009","1","2009-01-01 00:00:00","mysql","367","15956","2.300075206818","1518"
"2009","1","2009-01-01 00:00:00","oracle","121","15956","0.758335422411","781"
"2009","1","2009-01-01 00:00:00","postgresql","55","15956","0.344697919278","232"
"2009","1","2009-01-01 00:00:00","sqlite","40","15956","0.250689395838","163"
"2009","1","2009-01-01 00:00:00","sql-server","550","15956","3.44697919278","2607"
"2009","2","2009-02-01 00:00:00","db2","16","17694","0.090426133152","76"
"2009","2","2009-02-01 00:00:00","mysql","356","17694","2.011981462642","1874"
"2009","2","2009-02-01 00:00:00","oracle","134","17694","0.757318865152","915"
"2009","2","2009-02-01 00:00:00","postgresql","49","17694","0.276930032779","281"
"2009","2","2009-02-01 00:00:00","sqlite","53","17694","0.299536566067","216"
"2009","2","2009-02-01 00:00:00","sql-server","523","17694","2.955804227421","3130"
"2009","3","2009-03-01 00:00:00","db2","16","20577","0.077756718666","92"
"2009","3","2009-03-01 00:00:00","mysql","462","20577","2.245225251494","2336"
"2009","3","2009-03-01 00:00:00","oracle","144","20577","0.699810467998","1059"
"2009","3","2009-03-01 00:00:00","postgresql","51","20577","0.247849540749","332"
"2009","3","2009-03-01 00:00:00","sqlite","60","20577","0.291587694999","276"
"2009","3","2009-03-01 00:00:00","sql-server","627","20577","3.047091412742","3757"
"2009","4","2009-04-01 00:00:00","db2","21","21453","0.097888407215","113"
"2009","4","2009-04-01 00:00:00","mysql","484","21453","2.256094718687","2820"
"2009","4","2009-04-01 00:00:00","oracle","145","21453","0.675896145061","1204"
"2009","4","2009-04-01 00:00:00","postgresql","64","21453","0.298326574371","396"
"2009","4","2009-04-01 00:00:00","sqlite","91","21453","0.424183097935","367"
"2009","4","2009-04-01 00:00:00","sql-server","681","21453","3.174381205425","4438"
"2009","5","2009-05-01 00:00:00","db2","18","25941","0.06938822713","131"
"2009","5","2009-05-01 00:00:00","mongodb","2","25941","0.007709803014","3"
"2009","5","2009-05-01 00:00:00","mysql","566","25941","2.181874253112","3386"
"2009","5","2009-05-01 00:00:00","oracle","211","25941","0.813384218033","1415"
"2009","5","2009-05-01 00:00:00","postgresql","66","25941","0.254423499479","462"
"2009","5","2009-05-01 00:00:00","sqlite","105","25941","0.404764658262","472"
"2009","5","2009-05-01 00:00:00","sql-server","749","25941","2.887321228942","5187"
"2009","6","2009-06-01 00:00:00","db2","25","28462","0.087836413463","156"
"2009","6","2009-06-01 00:00:00","mysql","691","28462","2.427798468132","4077"
"2009","6","2009-06-01 00:00:00","oracle","246","28462","0.864310308481","1661"
"2009","6","2009-06-01 00:00:00","postgresql","69","28462","0.242428501159","531"
"2009","6","2009-06-01 00:00:00","sqlite","106","28462","0.372426393085","578"
"2009","6","2009-06-01 00:00:00","sql-server","765","28462","2.687794251985","5952"
"2009","7","2009-07-01 00:00:00","db2","24","32652","0.073502388827","180"
"2009","7","2009-07-01 00:00:00","mariadb","1","32652","0.003062599534","1"
"2009","7","2009-07-01 00:00:00","mongodb","2","32652","0.006125199068","5"
"2009","7","2009-07-01 00:00:00","mysql","882","32652","2.701212789415","4959"
"2009","7","2009-07-01 00:00:00","oracle","271","32652","0.829964473845","1932"
"2009","7","2009-07-01 00:00:00","postgresql","120","32652","0.367511944138","651"
"2009","7","2009-07-01 00:00:00","sqlite","115","32652","0.352198946465","693"
"2009","7","2009-07-01 00:00:00","sql-server","900","32652","2.756339581036","6852"
"2009","8","2009-08-01 00:00:00","db2","18","32912","0.054691298006","198"
"2009","8","2009-08-01 00:00:00","mongodb","1","32912","0.003038405444","6"
"2009","8","2009-08-01 00:00:00","mysql","997","32912","3.029290228488","5956"
"2009","8","2009-08-01 00:00:00","oracle","289","32912","0.878099173553","2221"
"2009","8","2009-08-01 00:00:00","postgresql","138","32912","0.419299951385","789"
"2009","8","2009-08-01 00:00:00","redis","1","32912","0.003038405444","1"
"2009","8","2009-08-01 00:00:00","sqlite","121","32912","0.367647058823","814"
